strPHAtr_Phatr3_EG00583.p1    GO:0015031,GO:0030173
strPHAtr_Phatr3_EG00596.p1    GO:0016020
strPHAtr_Phatr3_EG00609.p1    GO:0005515
strPHAtr_Phatr3_EG00615.p1    GO:0006508,GO:0008236
strPHAtr_Phatr3_EG00620.p1    GO:0005515
strPHAtr_Phatr3_EG00622.p1    GO:0005515
strPHAtr_Phatr3_EG00654.p1    GO:0000492
strPHAtr_Phatr3_EG00657.p1    GO:0005839,GO:0051603
strPHAtr_Phatr3_EG00664.p1    GO:0006777
strPHAtr_Phatr3_EG00666.p1    GO:0008168
strPHAtr_Phatr3_EG00672.p1    GO:0003700,GO:0006355,GO:0043565
strPHAtr_Phatr3_EG00677.p1    GO:0004252,GO:0006465,GO:0006627,GO:0008236,GO:0042720
strPHAtr_Phatr3_EG00679.p1    GO:0016491
strPHAtr_Phatr3_EG00704.p1    GO:0003676,GO:0004527
strPHAtr_Phatr3_EG00716.p1    GO:0015297,GO:0016020,GO:0042910,GO:0055085
strPHAtr_Phatr3_EG00718.p1    GO:0006629
strPHAtr_Phatr3_EG00720.p1    GO:0006629
strPHAtr_Phatr3_EG00726.p1    GO:0000493
strPHAtr_Phatr3_EG00731.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_EG00743.p1    GO:0000145,GO:0006893
strPHAtr_Phatr3_EG00764.p1    GO:0006508,GO:0008236
strPHAtr_Phatr3_EG00772.p1    GO:0005216,GO:0005515,GO:0006811,GO:0016020,GO:0055085
strPHAtr_Phatr3_EG00775.p1    GO:0015074
strPHAtr_Phatr3_EG00777.p1    GO:0006508,GO:0008234
strPHAtr_Phatr3_EG00779.p1    GO:0004842,GO:0016567
strPHAtr_Phatr3_EG00782.p1    GO:0003676,GO:0004386,GO:0005524
strPHAtr_Phatr3_EG00784.p1    GO:0046872
strPHAtr_Phatr3_EG00791.p1    GO:0006744,GO:0045333,GO:0048039
strPHAtr_Phatr3_EG00792.p1    GO:0003723,GO:0006396,GO:0008173
strPHAtr_Phatr3_EG00794.p1    GO:0000724,GO:0006281
strPHAtr_Phatr3_EG00797.p1    GO:0006457,GO:0016272,GO:0051082
strPHAtr_Phatr3_EG00805.p1    GO:0005515
strPHAtr_Phatr3_EG00808.p1    GO:0008272,GO:0015116,GO:0016021
strPHAtr_Phatr3_EG00811.p1    GO:0032040
strPHAtr_Phatr3_EG00815.p1    GO:0003824
strPHAtr_Phatr3_EG00816.p1    GO:0005515
strPHAtr_Phatr3_EG00818.p1    GO:0015743
strPHAtr_Phatr3_EG00842.p1    GO:0005247,GO:0006821,GO:0016020,GO:0055085
strPHAtr_Phatr3_EG00845.p1    GO:0005525
strPHAtr_Phatr3_EG00850.p1    GO:0000413,GO:0003755
strPHAtr_Phatr3_EG00868.p1    GO:0006623,GO:0016192
strPHAtr_Phatr3_EG00869.p1    GO:0003824
strPHAtr_Phatr3_EG00870.p1    GO:0005739
strPHAtr_Phatr3_EG00875.p1    GO:0003676,GO:0005524
strPHAtr_Phatr3_EG00879.p1    GO:0001522,GO:0003723,GO:0009451,GO:0009982
strPHAtr_Phatr3_EG00889.p1    GO:0047834
strPHAtr_Phatr3_EG00890.p1    GO:0003824
strPHAtr_Phatr3_EG00901.p1    GO:0070072
strPHAtr_Phatr3_EG00902.p1    GO:0003677,GO:0003721,GO:0003964
strPHAtr_Phatr3_EG00911.p1    GO:0000776,GO:0034508
strPHAtr_Phatr3_EG00920.p1    GO:0005742,GO:0030150
strPHAtr_Phatr3_EG00927.p1    GO:0004497,GO:0005506,GO:0016705,GO:0020037
strPHAtr_Phatr3_EG00928.p1    GO:0016491,GO:0047834
strPHAtr_Phatr3_EG00932.p1    GO:0008168
strPHAtr_Phatr3_EG00941.p1    GO:0006464
strPHAtr_Phatr3_EG00951.p1    GO:0048188
strPHAtr_Phatr3_EG00957.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_EG00966.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_EG00987.p1    GO:0005544
strPHAtr_Phatr3_EG00991.p1    GO:0003700,GO:0006355
strPHAtr_Phatr3_EG00999.p1    GO:0005515
strPHAtr_Phatr3_EG01001.p1    GO:0046872
strPHAtr_Phatr3_EG01004.p1    GO:0004553,GO:0005975
strPHAtr_Phatr3_EG01005.p1    GO:0005515
strPHAtr_Phatr3_EG01006.p1    GO:0003677,GO:0006260
strPHAtr_Phatr3_EG01010.p1    GO:0005634,GO:0042254
strPHAtr_Phatr3_EG01012.p1    GO:0003735
strPHAtr_Phatr3_EG01018.p1    GO:0017053
strPHAtr_Phatr3_EG01019.p1    GO:0006355
strPHAtr_Phatr3_EG01034.p1    GO:0005515
strPHAtr_Phatr3_EG01037.p1    GO:0005743,GO:0061617
strPHAtr_Phatr3_EG01038.p1    GO:0004146,GO:0006545,GO:0046654,GO:0050661
strPHAtr_Phatr3_EG01039.p1    GO:0005506
strPHAtr_Phatr3_EG01041.p1    GO:0004252,GO:0016021
strPHAtr_Phatr3_EG01045.p1    GO:0001682,GO:0030677
strPHAtr_Phatr3_EG01046.p1    GO:0050290
strPHAtr_Phatr3_EG01051.p1    GO:0016538
strPHAtr_Phatr3_EG01052.p1    GO:0005515,GO:0006749
strPHAtr_Phatr3_EG01057.p1    GO:0003899,GO:0006352
strPHAtr_Phatr3_EG01066.p1    GO:0005484,GO:0006886,GO:0016020
strPHAtr_Phatr3_EG01069.p1    GO:0000808,GO:0005634,GO:0006260
strPHAtr_Phatr3_EG01077.p1    GO:0005739,GO:0034553
strPHAtr_Phatr3_EG01078.p1    GO:0003677,GO:0005524,GO:0006259,GO:0006281,GO:0008094
strPHAtr_Phatr3_EG01083.p1    GO:0005506,GO:0008610,GO:0016491
strPHAtr_Phatr3_EG01090.p1    GO:0016491
strPHAtr_Phatr3_EG01095.p1    GO:0003676
strPHAtr_Phatr3_EG01108.p1    GO:0005515
strPHAtr_Phatr3_EG01110.p1    GO:0009190,GO:0035556
strPHAtr_Phatr3_EG01113.p1    GO:0005515
strPHAtr_Phatr3_EG01119.p1    GO:0070072
strPHAtr_Phatr3_EG01120.p1    GO:0051536
strPHAtr_Phatr3_EG01123.p1    GO:0004722,GO:0006470,GO:0016791
strPHAtr_Phatr3_EG01128.p1    GO:0006406,GO:0008541,GO:0043248
strPHAtr_Phatr3_EG01131.p1    GO:0008270
strPHAtr_Phatr3_EG01162.p1    GO:0043248
strPHAtr_Phatr3_EG01175.p1    GO:0015074
strPHAtr_Phatr3_EG01178.p1    GO:0015074
strPHAtr_Phatr3_EG01181.p1    GO:0000287,GO:0008897,GO:0009239,GO:0009366,GO:0016780
strPHAtr_Phatr3_EG01184.p1    GO:0016491
strPHAtr_Phatr3_EG01188.p1    GO:0030433,GO:0030968
strPHAtr_Phatr3_EG01208.p1    GO:0000398,GO:0003723,GO:0045131
strPHAtr_Phatr3_EG01219.p1    GO:0052861
strPHAtr_Phatr3_EG01225.p1    GO:0008270
strPHAtr_Phatr3_EG01271.p1    GO:0015074
strPHAtr_Phatr3_EG01286.p1    GO:0005524,GO:0016020,GO:0140359
strPHAtr_Phatr3_EG01287.p1    GO:0003677,GO:0006355,GO:0046872
strPHAtr_Phatr3_EG01290.p1    GO:0003677
strPHAtr_Phatr3_EG01291.p1    GO:0051536
strPHAtr_Phatr3_EG01304.p1    GO:0005515
strPHAtr_Phatr3_EG01307.p1    GO:0018024
strPHAtr_Phatr3_EG01315.p1    GO:0008289
strPHAtr_Phatr3_EG01318.p1    GO:0000439,GO:0001671,GO:0006289
strPHAtr_Phatr3_EG01335.p1    GO:0016740,GO:0016785,GO:0097056
strPHAtr_Phatr3_EG01336.p1    GO:0008270
strPHAtr_Phatr3_EG01338.p1    GO:0016740,GO:0016785,GO:0097056
strPHAtr_Phatr3_EG01343.p1    GO:0003690,GO:0006355
strPHAtr_Phatr3_EG01350.p1    GO:0000398,GO:0005681
strPHAtr_Phatr3_EG01360.p1    GO:0008146,GO:0016021
strPHAtr_Phatr3_EG01364.p1    GO:0008146,GO:0016021
strPHAtr_Phatr3_EG01365.p1    GO:0003824,GO:0030151,GO:0030170
strPHAtr_Phatr3_EG01373.p1    GO:0003676
strPHAtr_Phatr3_EG01375.p1    GO:0015297,GO:0016020,GO:0042910,GO:0055085
strPHAtr_Phatr3_EG01377.p1    GO:0003723,GO:0003724,GO:0005524,GO:0005634
strPHAtr_Phatr3_EG01380.p1    GO:0005743,GO:0061617
strPHAtr_Phatr3_EG01398.p1    GO:0006360
strPHAtr_Phatr3_EG01401.p1    GO:0016757
strPHAtr_Phatr3_EG01409.p1    GO:0016409
strPHAtr_Phatr3_EG01410.p1    GO:0003755,GO:0006457
strPHAtr_Phatr3_EG01422.p1    GO:0070072
strPHAtr_Phatr3_EG01424.p1    GO:0005515
strPHAtr_Phatr3_EG01428.p1    GO:0003677,GO:0003899,GO:0006351
strPHAtr_Phatr3_EG01433.p1    GO:0003676
strPHAtr_Phatr3_EG01448.p1    GO:0019988,GO:0043399
strPHAtr_Phatr3_EG01455.p1    GO:0015986,GO:0045261,GO:0046933
strPHAtr_Phatr3_EG01456.p1    GO:0000213,GO:0006388
strPHAtr_Phatr3_EG01459.p1    GO:0009055,GO:0016021
strPHAtr_Phatr3_EG01460.p1    GO:0019787
strPHAtr_Phatr3_EG01462.p1    GO:0000808,GO:0003677,GO:0005634,GO:0006260
strPHAtr_Phatr3_EG01464.p1    GO:0005680,GO:0030071,GO:0031145
strPHAtr_Phatr3_EG01465.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_EG01472.p1    GO:0004497,GO:0005506,GO:0016705,GO:0020037
strPHAtr_Phatr3_EG01473.p1    GO:0000045,GO:0005737
strPHAtr_Phatr3_EG01475.p1    GO:0005515,GO:0006749,GO:0097573
strPHAtr_Phatr3_EG01477.p1    GO:0005544
strPHAtr_Phatr3_EG01481.p1    GO:0046855
strPHAtr_Phatr3_EG01483.p1    GO:0004181,GO:0006508,GO:0008270
strPHAtr_Phatr3_EG01486.p1    GO:0008199,GO:0016226
strPHAtr_Phatr3_EG01489.p1    GO:0016407
strPHAtr_Phatr3_EG01492.p1    GO:0005509,GO:0005515
strPHAtr_Phatr3_EG01501.p1    GO:0008080
strPHAtr_Phatr3_EG01508.p1    GO:0003723
strPHAtr_Phatr3_EG01518.p1    GO:0070988
strPHAtr_Phatr3_EG01519.p1    GO:0018193
strPHAtr_Phatr3_EG01520.p1    GO:0006629
strPHAtr_Phatr3_EG01533.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_EG01534.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_EG01535.p1    GO:0008270,GO:0016787
strPHAtr_Phatr3_EG01536.p1    GO:0003676,GO:0003723
strPHAtr_Phatr3_EG01537.p1    GO:0016491
strPHAtr_Phatr3_EG01542.p1    GO:0003700,GO:0006355,GO:0043565
strPHAtr_Phatr3_EG01543.p1    GO:0003676,GO:0004527
strPHAtr_Phatr3_EG01544.p1    GO:0006629
strPHAtr_Phatr3_EG01584.p1    GO:0015035
strPHAtr_Phatr3_EG01588.p1    GO:0009234,GO:0030976,GO:0070204
strPHAtr_Phatr3_EG01590.p1    GO:0005524
strPHAtr_Phatr3_EG01592.p1    GO:0020037
strPHAtr_Phatr3_EG01598.p1    GO:0005509
strPHAtr_Phatr3_EG01603.p1    GO:0000956,GO:0003676,GO:0004527,GO:0008409
strPHAtr_Phatr3_EG01605.p1    GO:0000139,GO:0015165,GO:0016021,GO:0090481
strPHAtr_Phatr3_EG01618.p1    GO:0016787
strPHAtr_Phatr3_EG01622.p1    GO:0006364
strPHAtr_Phatr3_EG01630.p1    GO:0008270
strPHAtr_Phatr3_EG01635.p1    GO:0006629
strPHAtr_Phatr3_EG01638.p1    GO:0006284,GO:0008725
strPHAtr_Phatr3_EG01652.p1    GO:0005515
strPHAtr_Phatr3_EG01656.p1    GO:0008289
strPHAtr_Phatr3_EG01660.p1    GO:0016846
strPHAtr_Phatr3_EG01668.p1    GO:0051536
strPHAtr_Phatr3_EG01671.p1    GO:0000462,GO:0005730,GO:0030686,GO:0030688
strPHAtr_Phatr3_EG01674.p1    GO:0005515
strPHAtr_Phatr3_EG01690.p1    GO:0016021
strPHAtr_Phatr3_EG01701.p1    GO:0016021
strPHAtr_Phatr3_EG01714.p1    GO:0017183
strPHAtr_Phatr3_EG01719.p1    GO:0016311,GO:0016791
strPHAtr_Phatr3_EG01726.p1    GO:0005515
strPHAtr_Phatr3_EG01731.p1    GO:0009235
strPHAtr_Phatr3_EG01733.p1    GO:0005515
strPHAtr_Phatr3_EG01736.p1    GO:0008654,GO:0016020,GO:0016780
strPHAtr_Phatr3_EG01741.p1    GO:0006364,GO:0008168
strPHAtr_Phatr3_EG01745.p1    GO:0005515
strPHAtr_Phatr3_EG01752.p1    GO:0004484,GO:0004651,GO:0005524,GO:0006370
strPHAtr_Phatr3_EG01788.p1    GO:0016279
strPHAtr_Phatr3_EG01795.p1    GO:0015074
strPHAtr_Phatr3_EG01801.p1    GO:0005515
strPHAtr_Phatr3_EG01802.p1    GO:0016491
strPHAtr_Phatr3_EG01807.p1    GO:0006281,GO:0030915
strPHAtr_Phatr3_EG01809.p1    GO:0003924,GO:0005525
strPHAtr_Phatr3_EG01815.p1    GO:0005737,GO:0006535,GO:0009001
strPHAtr_Phatr3_EG01825.p1    GO:0016301
strPHAtr_Phatr3_EG01847.p1    GO:0046872
strPHAtr_Phatr3_EG01848.p1    GO:0005783
strPHAtr_Phatr3_EG01858.p1    GO:0004359,GO:0042819,GO:0042823
strPHAtr_Phatr3_EG01867.p1    GO:0006508,GO:0008233
strPHAtr_Phatr3_EG01869.p1    GO:0005515
strPHAtr_Phatr3_EG01870.p1    GO:0003677,GO:0003697,GO:0005524,GO:0006259,GO:0006281,GO:0008094
strPHAtr_Phatr3_EG01874.p1    GO:0007023
strPHAtr_Phatr3_EG01877.p1    GO:0008199
strPHAtr_Phatr3_EG01894.p1    GO:0005515
strPHAtr_Phatr3_EG01895.p1    GO:0005515,GO:0046872
strPHAtr_Phatr3_EG01898.p1    GO:0000126,GO:0000995,GO:0006352,GO:0006383,GO:0017025,GO:0070897
strPHAtr_Phatr3_EG01903.p1    GO:0006486,GO:0016757
strPHAtr_Phatr3_EG01909.p1    GO:0022857
strPHAtr_Phatr3_EG01911.p1    GO:0008270
strPHAtr_Phatr3_EG01916.p1    GO:0005515
strPHAtr_Phatr3_EG01920.p1    GO:0003677
strPHAtr_Phatr3_EG01923.p1    GO:0000166,GO:0003676,GO:0004812,GO:0004824,GO:0005524,GO:0006418,GO:0006430
strPHAtr_Phatr3_EG01924.p1    GO:0005515
strPHAtr_Phatr3_EG01932.p1    GO:0005515
strPHAtr_Phatr3_EG01933.p1    GO:0003700,GO:0006355,GO:0043565
strPHAtr_Phatr3_EG01934.p1    GO:0003911,GO:0004601,GO:0006260,GO:0006281,GO:0006979,GO:0020037
strPHAtr_Phatr3_EG01940.p1    GO:0016020
strPHAtr_Phatr3_EG01947.p1    GO:0004088,GO:0005524,GO:0006207,GO:0006541,GO:0046872
strPHAtr_Phatr3_EG01950.p1    GO:0005515
strPHAtr_Phatr3_EG01952.p1    GO:0005247,GO:0006821,GO:0016020,GO:0055085
strPHAtr_Phatr3_EG01954.p1    GO:0005524,GO:0016021,GO:0055085,GO:0140359
strPHAtr_Phatr3_EG01955.p1    GO:0003989,GO:0005524,GO:0006633,GO:0016874,GO:0046872
strPHAtr_Phatr3_EG01961.p1    GO:0005524,GO:0016021,GO:0055085,GO:0140359
strPHAtr_Phatr3_EG01965.p1    GO:0003700,GO:0006355,GO:0043565
strPHAtr_Phatr3_EG01966.p1    GO:0015074
strPHAtr_Phatr3_EG01983.p1    GO:0000160
strPHAtr_Phatr3_EG01984.p1    GO:0006886,GO:0016192
strPHAtr_Phatr3_EG01987.p1    GO:0006629
strPHAtr_Phatr3_EG01990.p1    GO:0016021
strPHAtr_Phatr3_EG01993.p1    GO:0016021
strPHAtr_Phatr3_EG01996.p1    GO:0006914
strPHAtr_Phatr3_EG01997.p1    GO:0004386
strPHAtr_Phatr3_EG01998.p1    GO:0005254
strPHAtr_Phatr3_EG01999.p1    GO:0003676,GO:0005524
strPHAtr_Phatr3_EG02000.p1    GO:0005254
strPHAtr_Phatr3_EG02004.p1    GO:0015293,GO:0016021
strPHAtr_Phatr3_EG02010.p1    GO:0015293,GO:0016021
strPHAtr_Phatr3_EG02012.p1    GO:0007094
strPHAtr_Phatr3_EG02013.p1    GO:0005525
strPHAtr_Phatr3_EG02017.p1    GO:0000978,GO:0005667,GO:0006355,GO:0006357,GO:0046983
strPHAtr_Phatr3_EG02026.p1    GO:0005839,GO:0019773,GO:0051603
strPHAtr_Phatr3_EG02028.p1    GO:0003676,GO:0005524
strPHAtr_Phatr3_EG02035.p1    GO:0042586
strPHAtr_Phatr3_EG02040.p1    GO:0003848,GO:0009396
strPHAtr_Phatr3_EG02041.p1    GO:0003924,GO:0005525,GO:0006614,GO:0008312,GO:0048500
strPHAtr_Phatr3_EG02043.p1    GO:0008612,GO:0019135
strPHAtr_Phatr3_EG02044.p1    GO:0004156,GO:0009396,GO:0042558
strPHAtr_Phatr3_EG02045.p1    GO:0004748,GO:0005524,GO:0006260
strPHAtr_Phatr3_EG02046.p1    GO:0006260
strPHAtr_Phatr3_EG02047.p1    GO:0006812,GO:0008324,GO:0016021,GO:0055085
strPHAtr_Phatr3_EG02049.p1    GO:0015074
strPHAtr_Phatr3_EG02055.p1    GO:0010506,GO:0043231,GO:0051537
strPHAtr_Phatr3_EG02057.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_EG02064.p1    GO:0042147
strPHAtr_Phatr3_EG02068.p1    GO:0015074
strPHAtr_Phatr3_EG02076.p1    GO:0016491
strPHAtr_Phatr3_EG02081.p1    GO:0097573
strPHAtr_Phatr3_EG02092.p1    GO:0000786,GO:0003677,GO:0006334
strPHAtr_Phatr3_EG02095.p1    GO:0003676
strPHAtr_Phatr3_EG02101.p1    GO:0016491
strPHAtr_Phatr3_EG02108.p1    GO:0003700,GO:0006355
strPHAtr_Phatr3_EG02110.p1    GO:0003774,GO:0005524,GO:0016459
strPHAtr_Phatr3_EG02111.p1    GO:0005783,GO:0045047
strPHAtr_Phatr3_EG02112.p1    GO:0022857,GO:0055085
strPHAtr_Phatr3_EG02115.p1    GO:0005739,GO:0065003
strPHAtr_Phatr3_EG02117.p1    GO:0016624
strPHAtr_Phatr3_EG02121.p1    GO:0003723,GO:0003735,GO:0006412
strPHAtr_Phatr3_EG02122.p1    GO:0003723,GO:0005515
strPHAtr_Phatr3_EG02123.p1    GO:0022857,GO:0055085
strPHAtr_Phatr3_EG02132.p1    GO:0015074
strPHAtr_Phatr3_EG02137.p1    GO:0001522,GO:0003723,GO:0009451,GO:0009982
strPHAtr_Phatr3_EG02139.p1    GO:0016788
strPHAtr_Phatr3_EG02145.p1    GO:0016788
strPHAtr_Phatr3_EG02146.p1    GO:0015031,GO:0030906,GO:0042147
strPHAtr_Phatr3_EG02148.p1    GO:0001522,GO:0003723,GO:0009451,GO:0009982
strPHAtr_Phatr3_EG02153.p1    GO:0005267,GO:0016020,GO:0071805
strPHAtr_Phatr3_EG02154.p1    GO:0009190,GO:0035556
strPHAtr_Phatr3_EG02157.p1    GO:0015074
strPHAtr_Phatr3_EG02158.p1    GO:0016021
strPHAtr_Phatr3_EG02159.p1    GO:0016021
strPHAtr_Phatr3_EG02160.p1    GO:0003676,GO:0005524
strPHAtr_Phatr3_EG02162.p1    GO:0016021
strPHAtr_Phatr3_EG02164.p1    GO:0003676,GO:0005524
strPHAtr_Phatr3_EG02165.p1    GO:0016021
strPHAtr_Phatr3_EG02170.p1    GO:0004843,GO:0016579
strPHAtr_Phatr3_EG02172.p1    GO:0018738,GO:0046294
strPHAtr_Phatr3_EG02174.p1    GO:0008942,GO:0051537
strPHAtr_Phatr3_EG02176.p1    GO:0016779
strPHAtr_Phatr3_EG02177.p1    GO:0003924,GO:0005525
strPHAtr_Phatr3_EG02179.p1    GO:0003684,GO:0006284,GO:0006289,GO:0008534
strPHAtr_Phatr3_EG02181.p1    GO:0005515
strPHAtr_Phatr3_EG02183.p1    GO:0006812,GO:0008324
strPHAtr_Phatr3_EG02184.p1    GO:0003676,GO:0005524
strPHAtr_Phatr3_EG02190.p1    GO:0016021,GO:0032977
strPHAtr_Phatr3_EG02195.p1    GO:0015074
strPHAtr_Phatr3_EG02197.p1    GO:0006457
strPHAtr_Phatr3_EG02198.p1    GO:0000172,GO:0001682,GO:0005655
strPHAtr_Phatr3_EG02199.p1    GO:0016409
strPHAtr_Phatr3_EG02204.p1    GO:0046854,GO:0048015
strPHAtr_Phatr3_EG02206.p1    GO:0015074
strPHAtr_Phatr3_EG02207.p1    GO:0005524
strPHAtr_Phatr3_EG02208.p1    GO:0004347,GO:0006094,GO:0006096
strPHAtr_Phatr3_EG02209.p1    GO:0003872,GO:0006096
strPHAtr_Phatr3_EG02210.p1    GO:0004553,GO:0005975,GO:0015074
strPHAtr_Phatr3_EG02211.p1    GO:0004672,GO:0005515,GO:0005524,GO:0006468
strPHAtr_Phatr3_EG02212.p1    GO:0005524,GO:0016887,GO:0035494
strPHAtr_Phatr3_EG02213.p1    GO:0003677,GO:0006355
strPHAtr_Phatr3_EG02214.p1    GO:0003824,GO:0005524,GO:0016887,GO:0051536
strPHAtr_Phatr3_EG02215.p1    GO:0003824,GO:0004334,GO:0005515,GO:0006749,GO:0009072
strPHAtr_Phatr3_EG02217.p1    GO:0006508,GO:0008234
strPHAtr_Phatr3_EG02218.p1    GO:0000049,GO:0000166,GO:0004812,GO:0004818,GO:0005524,GO:0006424,GO:0043039
strPHAtr_Phatr3_EG02219.p1    GO:0000166,GO:0004812,GO:0005524,GO:0006418
strPHAtr_Phatr3_EG02220.p1    GO:0005515
strPHAtr_Phatr3_EG02221.p1    GO:0009765,GO:0016020
strPHAtr_Phatr3_EG02223.p1    GO:0004176,GO:0004222,GO:0005524,GO:0006508,GO:0016020,GO:0016887
strPHAtr_Phatr3_EG02226.p1    GO:0005515,GO:0022857,GO:0055085
strPHAtr_Phatr3_EG02227.p1    GO:0022857,GO:0055085
strPHAtr_Phatr3_EG02228.p1    GO:0016491,GO:0035556,GO:0045454
strPHAtr_Phatr3_EG02232.p1    GO:0004612,GO:0005524,GO:0006094
strPHAtr_Phatr3_EG02234.p1    GO:0005216,GO:0006811,GO:0016020,GO:0016021,GO:0055085
strPHAtr_Phatr3_EG02235.p1    GO:0003924,GO:0005525
strPHAtr_Phatr3_EG02236.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_EG02237.p1    GO:0016020,GO:0055085
strPHAtr_Phatr3_EG02238.p1    GO:0003824,GO:0004014,GO:0008295
strPHAtr_Phatr3_EG02239.p1    GO:0005524,GO:0007018,GO:0008017,GO:1990939
strPHAtr_Phatr3_EG02240.p1    GO:0005509,GO:0005975,GO:0016868
