Gene_ID,Normalized_ID,Comparison,Delta_Beta,FDR,Significance_Tier,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,COG_Full
Phatr3_J12309,phatr3j12309,t1_Fe_deplete_vs_t1_Fe_replete,-1.0355853333333334,0.5496557345265838,Tier 3 (Effect Only),2850.Phatr12309,1.7e-95,283.0,"COG5132@1|root,KOG3404@2759|Eukaryota,2XG6X@2836|Bacillariophyta",2836|Bacillariophyta,K,G10 protein,-,-,-,ko:K12873,"ko03040,map03040",M00355,-,-,"ko00000,ko00001,ko00002,ko03041",-,-,-,G10,[K] Transcription
Phatr3_J40453,phatr3j40453,t1_Fe_deplete_vs_t1_Fe_replete,-1.020927,0.5680003407660122,Tier 3 (Effect Only),2850.Phatr40453,7.290000000000003e-200,573.0,"KOG2191@1|root,KOG2191@2759|Eukaryota,2XDD3@2836|Bacillariophyta",2836|Bacillariophyta,A,Pfam:KH_3,-,-,-,-,-,-,-,-,-,-,-,-,KH_1,[A] RNA processing and modification
Phatr3_J38965,phatr3j38965,t1_Fe_deplete_vs_t1_Fe_replete,-1.014026,0.5766841332110905,Tier 3 (Effect Only),2850.Phatr38965,0.0,2437.0,"COG0557@1|root,KOG2102@2759|Eukaryota",2850.Phatr38965|-,K,3'-5'-exoribonuclease activity,-,-,-,-,-,-,-,-,-,-,-,-,-,[K] Transcription
Phatr3_J49387,phatr3j49387,t1_Fe_deplete_vs_t1_Fe_replete,-0.9979196666666664,0.6033322993779914,Tier 3 (Effect Only),2850.Phatr49387,3.09e-233,642.0,"KOG0118@1|root,KOG0118@2759|Eukaryota,2XFA9@2836|Bacillariophyta",2836|Bacillariophyta,A,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",-,-,-,ko:K11294,"ko05130,map05130",-,-,-,"ko00000,ko00001,ko03009,ko03036",-,-,-,RRM_1,[A] RNA processing and modification
Phatr3_J42576,phatr3j42576,t1_Fe_deplete_vs_t1_Fe_replete,-0.9807766666666669,0.6217280138327029,Tier 3 (Effect Only),2850.Phatr42576,0.0,917.0,"2D63T@1|root,2T0MJ@2759|Eukaryota,2XHGJ@2836|Bacillariophyta",2850.Phatr42576|-,K,high mobility group,-,-,-,-,-,-,-,-,-,-,-,-,-,[K] Transcription
Phatr3_EG01965,phatr3eg01965,t1_Fe_deplete_vs_t1_Fe_replete,-0.97542,0.6279898266252792,Tier 3 (Effect Only),2850.Phatr48325,5.04e-265,745.0,"COG5169@1|root,KOG0627@2759|Eukaryota,2XHDN@2836|Bacillariophyta",2836|Bacillariophyta,K,heat shock factor,-,-,-,-,-,-,-,-,-,-,-,-,HSF_DNA-bind,[K] Transcription
Phatr3_J44442,phatr3j44442,t1_Fe_deplete_vs_t1_Fe_replete,-0.9751166666666666,0.6279898266252792,Tier 3 (Effect Only),2850.Phatr44442,4.2500000000000005e-173,485.0,"KOG4210@1|root,KOG4210@2759|Eukaryota,2XCTZ@2836|Bacillariophyta",2836|Bacillariophyta,A,Pfam:RRM_6,-,-,-,ko:K11294,"ko05130,map05130",-,-,-,"ko00000,ko00001,ko03009,ko03036",-,-,-,RRM_1,[A] RNA processing and modification
Phatr3_J42995,phatr3j42995,t1_Fe_deplete_vs_t1_Fe_replete,-0.9681353333333336,0.6371415036258274,Tier 3 (Effect Only),2850.Phatr42995,0.0,1061.0,"KOG2261@1|root,KOG2261@2759|Eukaryota,2XFFA@2836|Bacillariophyta",2836|Bacillariophyta,K,Enhancer of polycomb-like protein,-,-,-,ko:K11322,-,-,-,-,"ko00000,ko03036",-,-,-,EPL1,[K] Transcription
Phatr3_J5060,phatr3j5060,t1_Fe_deplete_vs_t1_Fe_replete,-0.94459,0.6717032986846498,Tier 3 (Effect Only),2850.Phatr5060,3.6799999999999996e-126,365.0,"KOG2829@1|root,KOG2829@2759|Eukaryota,2XGF8@2836|Bacillariophyta",2836|Bacillariophyta,K,Transcription factor DP,-,-,-,-,-,-,-,-,-,-,-,-,"DP,E2F_TDP",[K] Transcription
Phatr3_J46699,phatr3j46699,t1_Fe_deplete_vs_t1_Fe_replete,-0.9257118333333334,0.6949923913933129,Tier 3 (Effect Only),2850.Phatr46699,4.29e-102,296.0,"COG5250@1|root,KOG2351@2759|Eukaryota,2XC4B@2836|Bacillariophyta",2836|Bacillariophyta,K,RNA polymerase Rpb4,-,-,-,ko:K03012,"ko00230,ko00240,ko01100,ko03020,ko05016,ko05169,map00230,map00240,map01100,map03020,map05016,map05169",M00180,"R00435,R00441,R00442,R00443",RC02795,"br01611,ko00000,ko00001,ko00002,ko03021,ko03400",-,-,-,RNA_pol_Rpb4,[K] Transcription
